period,game_clock,team_id,hull_area,game
2,246.47,1610612743,690.4031949725502,01.02.2016.DEN.at.GSW
2,244.76,1610612744,154.67550823685008,01.02.2016.DEN.at.GSW
2,244.56,1610612744,176.29007149150004,01.02.2016.DEN.at.GSW
2,244.36,1610612744,204.07985122285,01.02.2016.DEN.at.GSW
2,244.16,1610612744,234.74425929514996,01.02.2016.DEN.at.GSW
2,243.96,1610612744,259.27237328005003,01.02.2016.DEN.at.GSW
2,243.76,1610612744,287.13557154190005,01.02.2016.DEN.at.GSW
2,243.56,1610612744,316.75381112145,01.02.2016.DEN.at.GSW
2,243.36,1610612744,357.00077637625003,01.02.2016.DEN.at.GSW
2,243.16,1610612744,388.67272881555016,01.02.2016.DEN.at.GSW
2,242.52,1610612744,410.49468064295013,01.02.2016.DEN.at.GSW
2,242.32,1610612744,397.7488308430999,01.02.2016.DEN.at.GSW
2,242.12,1610612744,367.9538893064,01.02.2016.DEN.at.GSW
2,241.92,1610612744,342.6557516055001,01.02.2016.DEN.at.GSW
2,241.72,1610612744,320.5606546668001,01.02.2016.DEN.at.GSW
2,241.53,1610612744,333.7987911872002,01.02.2016.DEN.at.GSW
2,241.33,1610612744,352.7609655696499,01.02.2016.DEN.at.GSW
2,241.13,1610612744,376.4419603933999,01.02.2016.DEN.at.GSW
2,240.93,1610612744,402.16680499769996,01.02.2016.DEN.at.GSW
2,240.73,1610612744,459.31693212230005,01.02.2016.DEN.at.GSW
2,240.53,1610612744,521.0561690912998,01.02.2016.DEN.at.GSW
2,240.33,1610612744,573.2631725255002,01.02.2016.DEN.at.GSW
2,240.13,1610612744,621.7616177278999,01.02.2016.DEN.at.GSW
2,239.93,1610612744,658.2602883297998,01.02.2016.DEN.at.GSW
2,239.73,1610612744,686.1945952485,01.02.2016.DEN.at.GSW
2,239.53,1610612744,706.830721983,01.02.2016.DEN.at.GSW
2,239.33,1610612744,727.0211674226999,01.02.2016.DEN.at.GSW
2,239.13,1610612744,737.1464193408498,01.02.2016.DEN.at.GSW
2,238.93,1610612744,735.37193718505,01.02.2016.DEN.at.GSW
2,238.73,1610612744,719.1572766906999,01.02.2016.DEN.at.GSW
2,238.53,1610612744,702.6339367590998,01.02.2016.DEN.at.GSW
2,238.33,1610612744,679.2975185058002,01.02.2016.DEN.at.GSW
2,238.13,1610612744,650.3093973187499,01.02.2016.DEN.at.GSW
2,237.93,1610612744,623.49350036,01.02.2016.DEN.at.GSW
2,237.73,1610612744,598.9787010732999,01.02.2016.DEN.at.GSW
2,237.53,1610612744,570.41217682955,01.02.2016.DEN.at.GSW
2,237.33,1610612744,544.4010250723,01.02.2016.DEN.at.GSW
2,237.13,1610612744,510.03669330490015,01.02.2016.DEN.at.GSW
2,236.93,1610612744,498.77402355469997,01.02.2016.DEN.at.GSW
2,236.74,1610612744,477.0853119433001,01.02.2016.DEN.at.GSW
2,236.54,1610612744,453.97622014395,01.02.2016.DEN.at.GSW
2,236.34,1610612744,426.5334118411001,01.02.2016.DEN.at.GSW
2,236.14,1610612744,397.99459375380013,01.02.2016.DEN.at.GSW
2,235.94,1610612744,370.57395043745,01.02.2016.DEN.at.GSW
2,235.74,1610612744,354.07574785160006,01.02.2016.DEN.at.GSW
2,235.54,1610612744,339.23338218050003,01.02.2016.DEN.at.GSW
2,235.34,1610612744,329.0539853947001,01.02.2016.DEN.at.GSW
2,235.14,1610612744,318.72416371235,01.02.2016.DEN.at.GSW
2,234.94,1610612744,303.9844453924,01.02.2016.DEN.at.GSW
2,234.74,1610612744,296.29179839374996,01.02.2016.DEN.at.GSW
2,234.54,1610612744,291.01845776305,01.02.2016.DEN.at.GSW
2,234.34,1610612744,298.21948866055,01.02.2016.DEN.at.GSW
2,234.14,1610612744,293.40219643,01.02.2016.DEN.at.GSW
2,233.94,1610612744,274.3926736152,01.02.2016.DEN.at.GSW
2,233.74,1610612744,266.48279109880013,01.02.2016.DEN.at.GSW
2,233.54,1610612744,286.1656972227,01.02.2016.DEN.at.GSW
2,233.1,1610612744,403.91732876185,01.02.2016.DEN.at.GSW
2,232.9,1610612744,450.37824065459995,01.02.2016.DEN.at.GSW
2,232.7,1610612743,237.61980395454998,01.02.2016.DEN.at.GSW
2,232.23,1610612744,537.8913075518499,01.02.2016.DEN.at.GSW
2,232.03,1610612744,541.7474719597999,01.02.2016.DEN.at.GSW
2,231.83,1610612744,539.7186564370498,01.02.2016.DEN.at.GSW
2,231.63,1610612744,539.8889505656,01.02.2016.DEN.at.GSW
2,231.43,1610612743,129.29892477565,01.02.2016.DEN.at.GSW
2,230.55,1610612744,564.0502330808,01.02.2016.DEN.at.GSW
2,230.35,1610612744,573.1912050390999,01.02.2016.DEN.at.GSW
